item,input,result,script,scope
Figure 1; TOC,Supplied manuscript artwork,not a numeric result,Preserved user artwork,Conceptual; AI assistance disclosed
Figure 2,data/upstream/nanomine_phase3_records.jsonl.gz,results/api_nanomine_validation.csv; results/representative_pair_views.csv,src/run_validation.py; src/make_figures.py,"183 records, 32 article groups; full 832-record scale reference (query-group excluded for retrieval/retention)"
Figure 3,data/upstream/nanomine_phase3_records.jsonl.gz,results/nanomine_material_system_embedding.csv; results/nanomine_material_system_separation.csv,src/run_validation.py; src/make_figures.py,72 records; constituent labels used as representation checks; full 832-record scale reference (query-group excluded for retrieval/retention)
Figure 4,data/upstream/nanomine_phase3_records.jsonl.gz,results/nanomine_process_method_embedding.csv; results/nanomine_process_method_separation.csv,src/run_validation.py; src/make_figures.py,120 records; method-included panel is input-dependent; full 832-record scale reference (query-group excluded for retrieval/retention)
Figure 5,Same NanoMine input; config/revision_evaluation.json,results/revision/retrieval_summary.csv; results/revision/retrieval_queries.csv,src/run_revision_evaluation.py; src/make_revision_figures.py,102 masked queries; 120 held-out method queries; full 832-record scale reference (query-group excluded for retrieval/retention)
Figure 6,Same NanoMine input; fixed reference feature schema,results/revision/missingness_summary.csv; results/revision/missingness_pairs.csv,src/run_revision_evaluation.py; src/make_revision_figures.py,300 pairs per mask; no imputation; full 832-record scale reference (query-group excluded for retrieval/retention)
Figures S1–S3,upstream_analyses/phase4_synthesis/data/upstream/*,data/upstream/cross_dataset_diagnostics.csv; view_disagreement_summary.csv; uncertainty_sensitivity.csv; objective_disagreement.csv; weight_response.csv,upstream_analyses/phase4_synthesis/src/run_phase4.py; src/make_figures.py,Retrospective algorithms; Starrydata F3 excluded
Table 3; SI Tables S4–S5,Same source inputs and selections as Figures 3–4,results/nanomine_material_system_separation.csv; nanomine_process_method_separation.csv; nanomine_process_method_neighbors.csv,src/run_validation.py,Exact-label silhouette; original distances
SI Tables S7–S11,Frozen NanoMine input and DOI audit,results/revision/audit_summary.json; retrieval_summary.csv; retrieval_resolved_subset_sensitivity.csv; missingness_summary.csv; sequence_counterexamples.csv,src/audit_sources.py; src/run_revision_evaluation.py,Numeric source audit plus representation sensitivities
Figure 7; SI Table S14,Same 120-record NanoMine cohort; config/interval_utility.json,results/revision/interval_utility_queries.csv; interval_utility_summary.csv; interval_utility_mask_audit.csv,src/run_interval_utility.py; src/make_revision_figures.py,Fixed weights and threshold grid; original/same-article excluded; reference is documented pre-mask distance; full 832-record scale reference (query-group excluded for retrieval/retention)
SI Table S13,results/revision/retrieval_queries.csv,results/revision/heldout_paired_comparisons.csv,src/run_interval_utility.py,"10,000 paired article-group bootstrap resamples; no superiority claim"
SI Table S15,Full frozen 832-record NanoMine input; same 120-query cohort; config/interval_utility.json,results/revision/baseline_documentation_queries.csv; baseline_documentation_summary.csv; baseline_documentation_audit.json,src/run_baseline_documentation.py,"No additional mask; one pass; 14,222 directed comparisons; 60 fixed-rule conditions"
