task,method,sample_id,article_group,replicate,mrr,recall_at_1,recall_at_5,tie_size,agreement_at_5,gallery_size
heldout_method,balanced_strict,e116-s21-prasad-2018,article:e116,0,,,,,0.2,119
heldout_method,equal_facets,e116-s21-prasad-2018,article:e116,0,,,,,0.2,119
heldout_method,gower_field_pool,e116-s21-prasad-2018,article:e116,0,,,,,0.0,119
heldout_method,sequence_as_set,e116-s21-prasad-2018,article:e116,0,,,,,0.0,119
heldout_method,sequence_as_bag,e116-s21-prasad-2018,article:e116,0,,,,,0.2,119
heldout_method,random_gallery,e116-s21-prasad-2018,article:e116,0,,,,,0.3277310924369748,119
heldout_method,balanced_strict,l225-s8-ma-2007,article:l225,0,,,,,0.0,118
heldout_method,equal_facets,l225-s8-ma-2007,article:l225,0,,,,,0.2,118
heldout_method,gower_field_pool,l225-s8-ma-2007,article:l225,0,,,,,0.4,118
heldout_method,sequence_as_set,l225-s8-ma-2007,article:l225,0,,,,,0.0,118
heldout_method,sequence_as_bag,l225-s8-ma-2007,article:l225,0,,,,,0.0,118
heldout_method,random_gallery,l225-s8-ma-2007,article:l225,0,,,,,0.3220338983050847,118
heldout_method,balanced_strict,l182-s7-hoepfner-2017,article:l182,0,,,,,0.4,119
heldout_method,equal_facets,l182-s7-hoepfner-2017,article:l182,0,,,,,0.4,119
heldout_method,gower_field_pool,l182-s7-hoepfner-2017,article:l182,0,,,,,0.4,119
heldout_method,sequence_as_set,l182-s7-hoepfner-2017,article:l182,0,,,,,0.2,119
heldout_method,sequence_as_bag,l182-s7-hoepfner-2017,article:l182,0,,,,,0.4,119
heldout_method,random_gallery,l182-s7-hoepfner-2017,article:l182,0,,,,,0.3277310924369748,119
heldout_method,balanced_strict,l254-s7-castillo-2011,article:l254,0,,,,,0.0,119
heldout_method,equal_facets,l254-s7-castillo-2011,article:l254,0,,,,,0.0,119
heldout_method,gower_field_pool,l254-s7-castillo-2011,article:l254,0,,,,,0.0,119
heldout_method,sequence_as_set,l254-s7-castillo-2011,article:l254,0,,,,,0.0,119
heldout_method,sequence_as_bag,l254-s7-castillo-2011,article:l254,0,,,,,0.0,119
heldout_method,random_gallery,l254-s7-castillo-2011,article:l254,0,,,,,0.3277310924369748,119
heldout_method,balanced_strict,l171-s15-rittigstein-2006,article:l171,0,,,,,0.2,119
heldout_method,equal_facets,l171-s15-rittigstein-2006,article:l171,0,,,,,0.6,119
heldout_method,gower_field_pool,l171-s15-rittigstein-2006,article:l171,0,,,,,0.6,119
heldout_method,sequence_as_set,l171-s15-rittigstein-2006,article:l171,0,,,,,0.2,119
heldout_method,sequence_as_bag,l171-s15-rittigstein-2006,article:l171,0,,,,,0.2,119
heldout_method,random_gallery,l171-s15-rittigstein-2006,article:l171,0,,,,,0.3277310924369748,119
heldout_method,balanced_strict,l320-s2-wang-2014,article:l320,0,,,,,0.4,119
heldout_method,equal_facets,l320-s2-wang-2014,article:l320,0,,,,,0.4,119
heldout_method,gower_field_pool,l320-s2-wang-2014,article:l320,0,,,,,0.4,119
heldout_method,sequence_as_set,l320-s2-wang-2014,article:l320,0,,,,,0.2,119
heldout_method,sequence_as_bag,l320-s2-wang-2014,article:l320,0,,,,,0.4,119
heldout_method,random_gallery,l320-s2-wang-2014,article:l320,0,,,,,0.3277310924369748,119
heldout_method,balanced_strict,l324-s5-zhu-2017,article:l324,0,,,,,0.4,118
heldout_method,equal_facets,l324-s5-zhu-2017,article:l324,0,,,,,0.4,118
heldout_method,gower_field_pool,l324-s5-zhu-2017,article:l324,0,,,,,0.6,118
heldout_method,sequence_as_set,l324-s5-zhu-2017,article:l324,0,,,,,0.6,118
heldout_method,sequence_as_bag,l324-s5-zhu-2017,article:l324,0,,,,,0.6,118
heldout_method,random_gallery,l324-s5-zhu-2017,article:l324,0,,,,,0.3220338983050847,118
heldout_method,balanced_strict,l174-s6-ramanathan-2008,article:l174,0,,,,,0.8,119
heldout_method,equal_facets,l174-s6-ramanathan-2008,article:l174,0,,,,,0.8,119
heldout_method,gower_field_pool,l174-s6-ramanathan-2008,article:l174,0,,,,,0.8,119
heldout_method,sequence_as_set,l174-s6-ramanathan-2008,article:l174,0,,,,,0.8,119
heldout_method,sequence_as_bag,l174-s6-ramanathan-2008,article:l174,0,,,,,0.8,119
heldout_method,random_gallery,l174-s6-ramanathan-2008,article:l174,0,,,,,0.3277310924369748,119
heldout_method,balanced_strict,l225-s1-ma-2007,article:l225,0,,,,,0.0,118
heldout_method,equal_facets,l225-s1-ma-2007,article:l225,0,,,,,0.0,118
heldout_method,gower_field_pool,l225-s1-ma-2007,article:l225,0,,,,,0.4,118
heldout_method,sequence_as_set,l225-s1-ma-2007,article:l225,0,,,,,0.4,118
heldout_method,sequence_as_bag,l225-s1-ma-2007,article:l225,0,,,,,0.4,118
heldout_method,random_gallery,l225-s1-ma-2007,article:l225,0,,,,,0.3220338983050847,118
heldout_method,balanced_strict,l196-s4-petersson-2006,article:l196,0,,,,,0.2,119
heldout_method,equal_facets,l196-s4-petersson-2006,article:l196,0,,,,,0.0,119
heldout_method,gower_field_pool,l196-s4-petersson-2006,article:l196,0,,,,,0.0,119
